Date,Open,High,Low,Close,Change,%Chg,Volume
2/11/2005,1197.01,1208.38,1193.28,1205.3,8.29,0.69%,0
2/10/2005,1191.99,1198.75,1191.54,1197.01,5.02,0.42%,0
2/9/2005,1202.3,1203.83,1191.54,1191.99,-10.31,-0.86%,0
2/8/2005,1201.72,1205.11,1200.16,1202.3,0.58,0.05%,0
2/7/2005,1203.03,1204.15,1199.27,1201.72,-1.31,-0.11%,0
2/4/2005,1189.89,1203.47,1189.67,1203.03,13.14,1.10%,0
2/3/2005,1193.19,1193.19,1185.64,1189.89,-3.3,-0.28%,0
2/2/2005,1189.41,1195.25,1188.92,1193.19,3.78,0.32%,0
2/1/2005,1181.27,1190.39,1180.95,1189.41,8.14,0.69%,0
1/31/2005,1171.36,1182.07,1171.36,1181.27,9.91,0.85%,0
1/28/2005,1174.55,1175.61,1166.25,1171.36,-3.19,-0.27%,0
1/27/2005,1174.07,1177.5,1170.15,1174.55,0.48,0.04%,0
1/26/2005,1168.41,1175.96,1168.41,1174.07,5.66,0.48%,0
1/25/2005,1163.75,1174.3,1163.75,1168.41,4.66,0.40%,0
1/24/2005,1167.87,1173.03,1163.75,1163.75,-4.12,-0.35%,0
1/21/2005,1175.41,1179.45,1167.82,1167.87,-7.54,-0.64%,0
1/20/2005,1184.63,1184.63,1173.42,1175.41,-9.22,-0.78%,0
1/19/2005,1195.98,1195.98,1184.41,1184.63,-11.35,-0.95%,0
1/18/2005,1184.52,1195.98,1180.1,1195.98,11.46,0.97%,0
1/14/2005,1177.45,1185.21,1177.45,1184.52,7.07,0.60%,0
1/13/2005,1187.7,1187.7,1175.81,1177.45,-10.25,-0.86%,0
1/12/2005,1182.99,1187.92,1175.64,1187.7,4.71,0.40%,0
1/11/2005,1190.25,1190.25,1180.43,1182.99,-7.26,-0.61%,0
1/10/2005,1186.19,1194.78,1184.8,1190.25,4.06,0.34%,0
1/7/2005,1187.89,1192.2,1182.16,1186.19,-1.7,-0.14%,0
1/6/2005,1183.74,1191.63,1183.27,1187.89,4.15,0.35%,0
1/5/2005,1188.05,1192.73,1183.72,1183.74,-4.31,-0.36%,0
1/4/2005,1202.08,1205.84,1185.39,1188.05,-14.03,-1.17%,0
1/3/2005,1211.92,1217.8,1200.32,1202.08,-9.84,-0.81%,0
12/31/2004,1213.55,1217.33,1211.65,1211.92,-1.63,-0.13%,0
12/30/2004,1213.48,1216.47,1213.41,1213.55,0.1,0.01%,0
12/29/2004,1212.72,1213.95,1210.95,1213.45,-0.09,-0.01%,0
12/28/2004,1205.12,1213.54,1205.12,1213.54,8.62,0.72%,0
12/27/2004,1210.13,1214.17,1204.92,1204.92,-5.21,-0.43%,0
12/23/2004,1209.16,1213.66,1208.71,1210.13,0.56,0.05%,0
12/22/2004,1205.45,1211.14,1203.81,1209.57,4.12,0.34%,0
12/21/2004,1195.2,1205.93,1195.2,1205.45,10.8,0.90%,0
12/20/2004,1194.2,1203.64,1193.36,1194.65,0.45,0.04%,0
12/17/2004,1202.26,1203.17,1193.44,1194.2,-9.01,-0.75%,0
12/16/2004,1205.3,1207.97,1198.41,1203.21,-2.51,-0.21%,0
12/15/2004,1203.09,1206.61,1199.44,1205.72,2.34,0.19%,0
12/14/2004,1198.68,1205.29,1197.84,1203.38,4.7,0.39%,0
12/13/2004,1189.87,1198.77,1189.87,1198.68,10.68,0.90%,0
12/10/2004,1187.45,1191.45,1185.24,1188,-1.24,-0.10%,0
12/9/2004,1181.18,1190.51,1173.76,1189.24,6.43,0.54%,0
12/8/2004,1177.07,1184.05,1176.8,1182.81,5.74,0.49%,0
12/7/2004,1190.44,1192.17,1177.07,1177.07,-13.18,-1.11%,0
12/6/2004,1190.84,1192.41,1185.18,1190.25,-0.92,-0.08%,0
12/3/2004,1191.35,1197.11,1187.7,1191.17,0.84,0.07%,0
12/2/2004,1190.68,1194.81,1186.66,1190.33,-1.04,-0.09%,0
12/1/2004,1173.83,1191.37,1173.83,1191.37,17.55,1.50%,0
11/30/2004,1178.57,1178.66,1173.81,1173.82,-4.75,-0.40%,0
11/29/2004,1182.65,1186.94,1172.37,1178.57,-4.08,-0.34%,0
11/26/2004,1181.43,1186.62,1181.08,1182.65,0.89,0.08%,0
11/24/2004,1178.07,1182.46,1178.07,1181.76,4.82,0.41%,0
11/23/2004,1176.63,1179.52,1171.41,1176.94,-0.3,-0.03%,0
11/22/2004,1170.34,1178.18,1167.89,1177.24,6.9,0.59%,0
11/19/2004,1183.55,1184,1169.17,1170.34,-13.21,-1.12%,0
11/18/2004,1181.78,1184.9,1180.09,1183.55,1.61,0.14%,0
11/17/2004,1176.63,1188.46,1176.63,1181.94,6.51,0.55%,0
11/16/2004,1183.81,1183.81,1175.32,1175.43,-8.38,-0.71%,0
11/15/2004,1183.81,1184.48,1179.85,1183.81,-0.36,-0.03%,0
11/12/2004,1174.18,1184.17,1171.39,1184.17,10.69,0.91%,0
11/11/2004,1162.91,1174.82,1162.91,1173.48,10.57,0.91%,0
11/10/2004,1164.08,1169.35,1162.39,1162.91,-1.17,-0.10%,0
11/9/2004,1164.97,1168.96,1162.48,1164.08,-0.81,-0.07%,0
11/8/2004,1166.17,1166.86,1162.32,1164.89,-1.28,-0.11%,0
11/5/2004,1163.04,1170.87,1160.52,1166.17,4.5,0.39%,0
11/4/2004,1142.76,1161.67,1142.34,1161.67,18.47,1.62%,0
11/3/2004,1130.54,1147.6,1130.54,1143.2,12.64,1.12%,0
11/2/2004,1130.85,1140.48,1128.12,1130.56,0.05,0.00%,0
11/1/2004,1130.26,1133.43,1127.53,1130.51,0.31,0.03%,0
10/29/2004,1127.41,1131.44,1124.62,1130.2,2.76,0.24%,0
10/28/2004,1124.75,1130.67,1120.57,1127.44,2.04,0.18%,0
10/27/2004,1110.28,1126.29,1107.43,1125.4,14.31,1.29%,0
10/26/2004,1094.86,1111.1,1094.86,1111.09,16.29,1.49%,0
10/25/2004,1095.15,1096.81,1090.19,1094.8,-0.94,-0.09%,0
10/22/2004,1106.49,1108.32,1095.29,1095.74,-10.75,-0.97%,0
10/21/2004,1104.42,1108.96,1098.47,1106.49,2.83,0.26%,0
10/20/2004,1102.86,1104.09,1094.25,1103.66,0.43,0.04%,0
10/19/2004,1114.79,1118.03,1103.15,1103.23,-10.79,-0.97%,0
10/18/2004,1107.62,1114.46,1103.33,1114.02,5.82,0.53%,0
10/15/2004,1105.35,1113.17,1102.14,1108.2,4.91,0.45%,0
10/14/2004,1113.55,1114.97,1102.06,1103.29,-10.36,-0.93%,0
10/13/2004,1124.56,1127.01,1109.63,1113.65,-8.19,-0.73%,0
10/12/2004,1122.94,1124.23,1115.77,1121.84,-2.55,-0.23%,0
10/11/2004,1122.14,1126.2,1122.14,1124.39,2.25,0.20%,0
10/8/2004,1129.83,1132.92,1120.19,1122.14,-8.51,-0.75%,0
10/7/2004,1141.68,1141.68,1130.46,1130.65,-11.4,-1.00%,0
10/6/2004,1134.16,1142.05,1132.94,1142.05,8.04,0.71%,0
10/5/2004,1134.81,1137.87,1132.03,1134.01,-1.16,-0.10%,0
10/4/2004,1131.5,1140.13,1131.5,1135.17,3.67,0.32%,0
10/1/2004,1115.96,1131.64,1115.96,1131.5,16.92,1.52%,0
9/30/2004,1114.8,1116.31,1109.61,1114.58,-0.22,-0.02%,0
9/29/2004,1109.89,1114.8,1107.36,1114.8,4.74,0.43%,0
9/28/2004,1104.24,1111.77,1101.29,1110.06,6.54,0.59%,0
9/27/2004,1109.05,1109.05,1103.24,1103.52,-6.59,-0.59%,0
9/24/2004,1108.36,1113.81,1108.36,1110.11,1.75,0.16%,0
9/23/2004,1113.56,1113.61,1108.05,1108.36,-5.2,-0.47%,0
9/22/2004,1126.72,1126.72,1112.67,1113.56,-15.74,-1.39%,0
9/21/2004,1122.83,1131.54,1122.8,1129.3,7.1,0.63%,0
9/20/2004,1127.78,1127.78,1120.34,1122.2,-6.35,-0.56%,0
9/17/2004,1123.9,1130.48,1123.9,1128.55,5.05,0.45%,0
9/16/2004,1120.37,1126.06,1120.37,1123.5,3.13,0.28%,0
9/15/2004,1128.33,1128.33,1119.74,1120.37,-7.96,-0.71%,0
9/14/2004,1125.81,1129.46,1124.72,1128.33,2.51,0.22%,0
9/13/2004,1124.71,1129.78,1123.35,1125.82,1.9,0.17%,0
9/10/2004,1118.49,1125.26,1114.47,1123.92,5.54,0.50%,0
9/9/2004,1117.12,1121.3,1113.62,1118.38,2.11,0.19%,0
9/8/2004,1120.94,1123.05,1116.27,1116.27,-5.03,-0.45%,0
9/7/2004,1114.81,1124.08,1114.81,1121.3,7.67,0.69%,0
9/3/2004,1116.09,1120.8,1113.57,1113.63,-4.68,-0.42%,0
9/2/2004,1105.6,1119.11,1105.6,1118.31,12.4,1.12%,0
9/1/2004,1104.24,1109.24,1099.18,1105.91,1.67,0.15%,0
8/31/2004,1099.21,1104.24,1094.72,1104.24,5.09,0.46%,0
8/30/2004,1107.77,1107.77,1099.15,1099.15,-8.62,-0.78%,0
8/27/2004,1105.33,1109.68,1104.61,1107.77,2.68,0.24%,0
8/26/2004,1104.26,1106.78,1102.43,1105.09,0.13,0.01%,0
8/25/2004,1096.15,1106.29,1093.24,1104.96,8.77,0.80%,0
8/24/2004,1096.47,1100.94,1092.82,1096.19,0.51,0.05%,0
8/23/2004,1098.35,1101.4,1094.73,1095.68,-2.67,-0.24%,0
8/20/2004,1090.89,1100.26,1089.57,1098.35,7.12,0.65%,0
8/19/2004,1094.99,1094.99,1086.28,1091.23,-3.94,-0.36%,0
8/18/2004,1081.71,1095.17,1078.93,1095.17,13.46,1.24%,0
8/17/2004,1079.35,1086.96,1079.35,1081.71,2.37,0.22%,0
8/16/2004,1065.06,1080.66,1065.06,1079.34,14.54,1.37%,0
8/13/2004,1063.23,1067.58,1060.72,1064.8,1.57,0.15%,0
8/12/2004,1075.79,1075.79,1062.82,1063.23,-12.56,-1.17%,0
8/11/2004,1079.04,1079.04,1065.92,1075.79,-3.25,-0.30%,0
8/10/2004,1066.22,1079.04,1066.22,1079.04,13.82,1.30%,0
8/9/2004,1064.8,1069.46,1064.15,1065.22,1.25,0.12%,0
8/6/2004,1078.55,1078.55,1062.23,1063.97,-16.73,-1.55%,0
8/5/2004,1098.63,1098.83,1079.98,1080.7,-17.93,-1.63%,0
8/4/2004,1098.67,1102.45,1092.4,1098.63,-1.06,-0.10%,0
8/3/2004,1106.32,1106.32,1099.2,1099.69,-6.93,-0.63%,0
8/2/2004,1101.72,1108.6,1097.34,1106.62,4.9,0.44%,0
7/30/2004,1100.37,1103.73,1096.96,1101.72,1.29,0.12%,0
7/29/2004,1097.09,1103.71,1095.82,1100.43,5.01,0.46%,0
7/28/2004,1093.88,1098.84,1082.17,1095.42,0.59,0.05%,0
7/27/2004,1084.07,1096.65,1084.07,1094.83,10.76,0.99%,0
7/26/2004,1086.62,1089.82,1078.78,1084.07,-2.13,-0.20%,0
7/23/2004,1096.84,1096.84,1083.49,1086.2,-10.64,-0.97%,0
7/22/2004,1093.87,1099.69,1084.16,1096.84,2.96,0.27%,0
7/21/2004,1108.67,1116.27,1093.88,1093.88,-14.79,-1.33%,0
7/20/2004,1101.1,1108.88,1099.1,1108.67,7.77,0.71%,0
7/19/2004,1101.39,1105.52,1096.55,1100.9,-0.49,-0.04%,0
7/16/2004,1107.93,1112.17,1101.07,1101.39,-5.3,-0.48%,0
7/15/2004,1112.08,1114.67,1106.6,1106.69,-4.78,-0.43%,0
7/14/2004,1115.14,1119.6,1107.83,1111.47,-3.67,-0.33%,0
7/13/2004,1114.87,1116.3,1112.99,1115.14,0.79,0.07%,0
7/12/2004,1111.57,1115.95,1106.71,1114.35,1.54,0.14%,0
7/9/2004,1109.11,1115.57,1109.11,1112.81,3.7,0.33%,0
7/8/2004,1116.72,1119.12,1108.72,1109.11,-9.22,-0.82%,0
7/7/2004,1116.21,1122.37,1114.92,1118.33,2.12,0.19%,0
7/6/2004,1123.58,1123.58,1113.21,1116.21,-9.17,-0.81%,0
7/2/2004,1128.94,1129.18,1123.26,1125.38,-3.56,-0.32%,0
7/1/2004,1140.73,1140.8,1123.06,1128.94,-11.9,-1.04%,0
6/30/2004,1136.57,1144.22,1133.62,1140.84,4.64,0.41%,0
6/29/2004,1132.96,1138.26,1131.81,1136.2,2.85,0.25%,0
6/28/2004,1136.6,1142.88,1131.62,1133.35,-1.08,-0.10%,0
6/25/2004,1140.73,1145.97,1134.24,1134.43,-6.22,-0.55%,0
6/24/2004,1143.76,1146.34,1139.94,1140.65,-3.41,-0.30%,0
6/23/2004,1134.12,1145.16,1131.73,1144.06,9.65,0.85%,0
6/22/2004,1130.3,1135.05,1124.37,1134.41,4.11,0.36%,0
6/21/2004,1135.43,1138.05,1129.64,1130.3,-4.72,-0.42%,0
6/18/2004,1132.05,1139.08,1129.82,1135.02,2.97,0.26%,0
6/17/2004,1132.83,1133.45,1126.89,1132.05,-1.51,-0.13%,0
6/16/2004,1131.89,1135.28,1130.55,1133.56,1.55,0.14%,0
6/15/2004,1126.55,1137.36,1126.55,1132.01,6.72,0.60%,0
6/14/2004,1135.21,1135.21,1122.16,1125.29,-11.18,-0.98%,0
6/10/2004,1131.33,1136.47,1131.33,1136.47,5.14,0.45%,0
6/9/2004,1141.09,1141.09,1131.16,1131.33,-10.85,-0.95%,0
6/8/2004,1139.23,1142.18,1135.45,1142.18,1.76,0.15%,0
6/7/2004,1122.5,1140.54,1122.5,1140.42,17.92,1.60%,0
6/4/2004,1116.65,1129.17,1116.65,1122.5,5.86,0.52%,0
