Date,Adj Close,Year,,,Year,First Close,Last Close,Return for Year,Total Return 20 Years,Average Return 20 Years
9/15/1967,96.269997,1967,,,,,,,,
9/18/1967,96.529999,1967,,,,,,,,
9/19/1967,96.169998,1967,,,,,,,,
9/20/1967,96.129997,1967,,,,,,,,
9/21/1967,96.75,1967,,,,,,,,
9/22/1967,97,1967,,,,,,,,
9/25/1967,97.589996,1967,,,,,,,,
9/26/1967,96.760002,1967,,,,,,,,
9/27/1967,96.790001,1967,,,,,,,,
9/28/1967,96.790001,1967,,,,,,,,
9/29/1967,96.709999,1967,,,,,,,,
10/2/1967,96.32,1967,,,,,,,,
10/3/1967,96.650002,1967,,,,,,,,
10/4/1967,96.43,1967,,,,,,,,
10/5/1967,96.669998,1967,,,,,,,,
10/6/1967,97.260002,1967,,,,,,,,
10/9/1967,97.510002,1967,,,,,,,,
10/10/1967,96.839996,1967,,,,,,,,
10/11/1967,96.370003,1967,,,,,,,,
10/12/1967,95.75,1967,,,,,,,,
10/13/1967,96,1967,,,,,,,,
10/16/1967,95.25,1967,,,,,,,,
10/17/1967,95,1967,,,,,,,,
10/18/1967,95.25,1967,,,,,,,,
10/19/1967,95.43,1967,,,,,,,,
10/20/1967,95.379997,1967,,,,,,,,
10/23/1967,94.959999,1967,,,,,,,,
10/24/1967,94.419998,1967,,,,,,,,
10/25/1967,94.519997,1967,,,,,,,,
10/26/1967,94.940002,1967,,,,,,,,
10/27/1967,94.959999,1967,,,,,,,,
10/30/1967,94.790001,1967,,,,,,,,
10/31/1967,93.300003,1967,,,,,,,,
11/1/1967,92.709999,1967,,,,,,,,
11/2/1967,92.339996,1967,,,,,,,,
11/3/1967,91.779999,1967,,,,,,,,
11/6/1967,91.480003,1967,,,,,,,,
11/8/1967,91.139999,1967,,,,,,,,
11/9/1967,91.589996,1967,,,,,,,,
11/10/1967,92.209999,1967,,,,,,,,
11/13/1967,91.970001,1967,,,,,,,,
11/14/1967,91.389999,1967,,,,,,,,
11/15/1967,91.760002,1967,,,,,,,,
11/16/1967,92.599998,1967,,,,,,,,
11/17/1967,92.82,1967,,,,,,,,
11/20/1967,91.650002,1967,,,,,,,,
11/21/1967,93.099998,1967,,,,,,,,
11/22/1967,93.650002,1967,,,,,,,,
11/24/1967,93.900002,1967,,,,,,,,
11/27/1967,94.169998,1967,,,,,,,,
11/28/1967,94.489998,1967,,,,,,,,
11/29/1967,94.470001,1967,,,,,,,,
11/30/1967,94,1967,,,,,,,,
12/1/1967,94.5,1967,,,,,,,,
12/4/1967,95.099998,1967,,,,,,,,
12/5/1967,95.230003,1967,,,,,,,,
12/6/1967,95.639999,1967,,,,,,,,
12/7/1967,95.529999,1967,,,,,,,,
12/8/1967,95.419998,1967,,,,,,,,
12/11/1967,95.120003,1967,,,,,,,,
12/12/1967,95.010002,1967,,,,,,,,
12/13/1967,95.339996,1967,,,,,,,,
12/14/1967,95.470001,1967,,,,,,,,
12/15/1967,95.029999,1967,,,,,,,,
12/18/1967,94.769997,1967,,,,,,,,
12/19/1967,94.629997,1967,,,,,,,,
12/20/1967,95.150002,1967,,,,,,,,
12/21/1967,95.379997,1967,,,,,,,,
12/22/1967,95.199997,1967,,,,,,,,
12/26/1967,95.260002,1967,,,,,,,,
12/27/1967,95.910004,1967,,,,,,,,
12/28/1967,95.889999,1967,,,,,,,,
12/29/1967,96.470001,1967,,,,,,,,
1/2/1968,96.110001,1968,,,,,,,,
1/3/1968,95.669998,1968,,,,,,,,
1/4/1968,95.360001,1968,,,,,,,,
1/5/1968,95.940002,1968,,,,,,,,
1/8/1968,96.620003,1968,,,,,,,,
1/9/1968,96.5,1968,,,,,,,,
1/10/1968,96.519997,1968,,,,,,,,
1/11/1968,96.620003,1968,,,,,,,,
1/12/1968,96.720001,1968,,,,,,,,
1/15/1968,96.419998,1968,,,,,,,,
1/16/1968,95.82,1968,,,,,,,,
1/17/1968,95.639999,1968,,,,,,,,
1/18/1968,95.559998,1968,,,,,,,,
1/19/1968,95.239998,1968,,,,,,,,
1/22/1968,94.029999,1968,,,,,,,,
1/23/1968,93.660004,1968,,,,,,,,
1/24/1968,93.169998,1968,,,,,,,,
1/25/1968,93.300003,1968,,,,,,,,
1/26/1968,93.449997,1968,,,,,,,,
1/29/1968,93.349998,1968,,,,,,,,
1/30/1968,92.889999,1968,,,,,,,,
1/31/1968,92.239998,1968,,,,,,,,
2/1/1968,92.559998,1968,,,,,,,,
2/2/1968,92.269997,1968,,,,,,,,
2/5/1968,91.870003,1968,,,,,,,,
2/6/1968,91.900002,1968,,,,,,,,
2/7/1968,92.059998,1968,,,,,,,,
2/8/1968,90.900002,1968,,,,,,,,
2/9/1968,89.860001,1968,,,,,,,,
2/13/1968,89.07,1968,,,,,,,,
2/14/1968,90.139999,1968,,,,,,,,
2/15/1968,90.300003,1968,,,,,,,,
2/16/1968,89.959999,1968,,,,,,,,
2/19/1968,90.309998,1968,,,,,,,,
2/20/1968,91.239998,1968,,,,,,,,
2/21/1968,91.239998,1968,,,,,,,,
2/23/1968,90.889999,1968,,,,,,,,
2/26/1968,90.18,1968,,,,,,,,
2/27/1968,90.529999,1968,,,,,,,,
2/28/1968,90.080002,1968,,,,,,,,
2/29/1968,89.360001,1968,,,,,,,,
3/1/1968,89.110001,1968,,,,,,,,
3/4/1968,87.919998,1968,,,,,,,,
3/5/1968,87.720001,1968,,,,,,,,
3/6/1968,89.260002,1968,,,,,,,,
3/7/1968,89.099998,1968,,,,,,,,
3/8/1968,89.029999,1968,,,,,,,,
3/11/1968,90.129997,1968,,,,,,,,
3/12/1968,90.230003,1968,,,,,,,,
3/13/1968,90.029999,1968,,,,,,,,
3/14/1968,88.32,1968,,,,,,,,
3/15/1968,89.099998,1968,,,,,,,,
3/18/1968,89.589996,1968,,,,,,,,
3/19/1968,88.989998,1968,,,,,,,,
3/20/1968,88.980003,1968,,,,,,,,
3/21/1968,88.330002,1968,,,,,,,,
3/22/1968,88.419998,1968,,,,,,,,
3/25/1968,88.330002,1968,,,,,,,,
3/26/1968,88.93,1968,,,,,,,,
3/27/1968,89.660004,1968,,,,,,,,
3/28/1968,89.57,1968,,,,,,,,
3/29/1968,90.199997,1968,,,,,,,,
4/1/1968,92.480003,1968,,,,,,,,
4/2/1968,92.639999,1968,,,,,,,,
4/3/1968,93.470001,1968,,,,,,,,
4/4/1968,93.839996,1968,,,,,,,,
4/5/1968,93.290001,1968,,,,,,,,
4/8/1968,94.949997,1968,,,,,,,,
4/10/1968,95.669998,1968,,,,,,,,
4/11/1968,96.529999,1968,,,,,,,,
4/15/1968,96.589996,1968,,,,,,,,
4/16/1968,96.620003,1968,,,,,,,,
4/17/1968,96.809998,1968,,,,,,,,
4/18/1968,97.080002,1968,,,,,,,,
4/19/1968,95.849998,1968,,,,,,,,
4/22/1968,95.32,1968,,,,,,,,
4/23/1968,96.620003,1968,,,,,,,,
4/24/1968,96.919998,1968,,,,,,,,
4/25/1968,96.620003,1968,,,,,,,,
4/26/1968,97.209999,1968,,,,,,,,
4/29/1968,97.970001,1968,,,,,,,,
4/30/1968,97.459999,1968,,,,,,,,
5/1/1968,97.970001,1968,,,,,,,,
5/2/1968,98.589996,1968,,,,,,,,
5/3/1968,98.660004,1968,,,,,,,,
5/6/1968,98.349998,1968,,,,,,,,
5/7/1968,98.900002,1968,,,,,,,,
5/8/1968,98.910004,1968,,,,,,,,
5/9/1968,98.389999,1968,,,,,,,,
5/10/1968,98.5,1968,,,,,,,,
5/13/1968,98.190002,1968,,,,,,,,
5/14/1968,98.120003,1968,,,,,,,,
5/15/1968,98.07,1968,,,,,,,,
5/16/1968,97.599998,1968,,,,,,,,
5/17/1968,96.900002,1968,,,,,,,,
5/20/1968,96.449997,1968,,,,,,,,
5/21/1968,96.93,1968,,,,,,,,
5/22/1968,97.18,1968,,,,,,,,
5/23/1968,96.970001,1968,,,,,,,,
5/24/1968,97.150002,1968,,,,,,,,
5/27/1968,96.989998,1968,,,,,,,,
5/28/1968,97.620003,1968,,,,,,,,
5/29/1968,97.919998,1968,,,,,,,,
5/31/1968,98.68,1968,,,,,,,,
6/3/1968,99.989998,1968,,,,,,,,
6/4/1968,100.379997,1968,,,,,,,,
6/5/1968,99.889999,1968,,,,,,,,
6/6/1968,100.650002,1968,,,,,,,,
6/7/1968,101.269997,1968,,,,,,,,
6/10/1968,101.410004,1968,,,,,,,,
6/11/1968,101.660004,1968,,,,,,,,
6/13/1968,101.25,1968,,,,,,,,
6/14/1968,101.129997,1968,,,,,,,,
6/17/1968,100.129997,1968,,,,,,,,
6/18/1968,99.989998,1968,,,,,,,,
6/20/1968,101.510002,1968,,,,,,,,
6/21/1968,100.660004,1968,,,,,,,,
6/24/1968,100.389999,1968,,,,,,,,
6/25/1968,100.080002,1968,,,,,,,,
6/27/1968,99.980003,1968,,,,,,,,
6/28/1968,99.580002,1968,,,,,,,,
7/1/1968,99.400002,1968,,,,,,,,
7/2/1968,99.739998,1968,,,,,,,,
7/3/1968,100.910004,1968,,,,,,,,
7/8/1968,101.940002,1968,,,,,,,,
7/9/1968,102.230003,1968,,,,,,,,
7/11/1968,102.389999,1968,,,,,,,,
7/12/1968,102.339996,1968,,,,,,,,
7/15/1968,102.260002,1968,,,,,,,,
7/16/1968,101.699997,1968,,,,,,,,
7/18/1968,101.440002,1968,,,,,,,,
7/19/1968,100.459999,1968,,,,,,,,
7/22/1968,99.330002,1968,,,,,,,,
7/23/1968,99.209999,1968,,,,,,,,
7/25/1968,97.940002,1968,,,,,,,,
7/26/1968,98.339996,1968,,,,,,,,
7/29/1968,97.650002,1968,,,,,,,,
7/30/1968,97.739998,1968,,,,,,,,
8/1/1968,97.279999,1968,,,,,,,,
8/2/1968,96.629997,1968,,,,,,,,
8/5/1968,96.849998,1968,,,,,,,,
8/6/1968,97.25,1968,,,,,,,,
8/8/1968,97.040001,1968,,,,,,,,
8/9/1968,97.010002,1968,,,,,,,,
8/12/1968,98.010002,1968,,,,,,,,
8/13/1968,98.529999,1968,,,,,,,,
8/15/1968,98.07,1968,,,,,,,,
8/16/1968,98.68,1968,,,,,,,,
8/19/1968,99,1968,,,,,,,,
8/20/1968,98.959999,1968,,,,,,,,
8/22/1968,98.699997,1968,,,,,,,,
8/23/1968,98.690002,1968,,,,,,,,
8/26/1968,98.940002,1968,,,,,,,,
8/27/1968,98.809998,1968,,,,,,,,
8/29/1968,98.739998,1968,,,,,,,,
8/30/1968,98.860001,1968,,,,,,,,
9/3/1968,99.32,1968,,,,,,,,
9/4/1968,100.019997,1968,,,,,,,,
9/5/1968,100.739998,1968,,,,,,,,
9/6/1968,101.199997,1968,,,,,,,,
9/9/1968,101.230003,1968,,,,,,,,
9/10/1968,100.730003,1968,,,,,,,,
9/12/1968,100.519997,1968,,,,,,,,
9/13/1968,100.860001,1968,,,,,,,,
9/16/1968,101.239998,1968,,,,,,,,
9/17/1968,101.5,1968,,,,,,,,
9/19/1968,101.589996,1968,,,,,,,,
9/20/1968,101.660004,1968,,,,,,,,
9/23/1968,102.239998,1968,,,,,,,,
9/24/1968,102.589996,1968,,,,,,,,
9/26/1968,102.360001,1968,,,,,,,,
9/27/1968,102.309998,1968,,,,,,,,
9/30/1968,102.669998,1968,,,,,,,,
10/1/1968,102.860001,1968,,,,,,,,
10/3/1968,103.220001,1968,,,,,,,,
10/4/1968,103.709999,1968,,,,,,,,
10/7/1968,103.699997,1968,,,,,,,,
10/8/1968,103.739998,1968,,,,,,,,
10/10/1968,103.290001,1968,,,,,,,,
10/11/1968,103.18,1968,,,,,,,,
10/14/1968,103.32,1968,,,,,,,,
10/15/1968,103.529999,1968,,,,,,,,
10/17/1968,104.010002,1968,,,,,,,,
10/18/1968,104.82,1968,,,,,,,,
10/21/1968,104.989998,1968,,,,,,,,
10/22/1968,104.57,1968,,,,,,,,
10/24/1968,103.839996,1968,,,,,,,,
10/25/1968,104.199997,1968,,,,,,,,
10/28/1968,103.900002,1968,,,,,,,,
10/29/1968,103.300003,1968,,,,,,,,
10/31/1968,103.410004,1968,,,,,,,,
11/1/1968,103.059998,1968,,,,,,,,
11/4/1968,103.099998,1968,,,,,,,,
11/6/1968,103.269997,1968,,,,,,,,
11/7/1968,103.5,1968,,,,,,,,
11/8/1968,103.949997,1968,,,,,,,,
11/12/1968,104.620003,1968,,,,,,,,
11/13/1968,105.129997,1968,,,,,,,,
11/14/1968,105.199997,1968,,,,,,,,
11/15/1968,105.779999,1968,,,,,,,,
11/18/1968,105.919998,1968,,,,,,,,
11/19/1968,106.139999,1968,,,,,,,,
11/21/1968,105.970001,1968,,,,,,,,
11/22/1968,106.300003,1968,,,,,,,,
11/25/1968,106.480003,1968,,,,,,,,
11/26/1968,107.260002,1968,,,,,,,,
11/27/1968,107.760002,1968,,,,,,,,
11/29/1968,108.370003,1968,,,,,,,,
12/2/1968,108.120003,1968,,,,,,,,
12/3/1968,108.019997,1968,,,,,,,,
12/5/1968,107.669998,1968,,,,,,,,
12/6/1968,107.93,1968,,,,,,,,
12/9/1968,107.660004,1968,,,,,,,,
12/10/1968,107.389999,1968,,,,,,,,
12/12/1968,107.32,1968,,,,,,,,
12/13/1968,107.580002,1968,,,,,,,,
12/16/1968,107.099998,1968,,,,,,,,
12/17/1968,106.660004,1968,,,,,,,,
12/19/1968,106.970001,1968,,,,,,,,
12/20/1968,106.339996,1968,,,,,,,,
12/23/1968,105.209999,1968,,,,,,,,
12/24/1968,105.040001,1968,,,,,,,,
12/26/1968,105.150002,1968,,,,,,,,
12/27/1968,104.739998,1968,,,,,,,,
12/30/1968,103.800003,1968,,,,,,,,
12/31/1968,103.860001,1968,,,,,,,,
1/2/1969,103.93,1969,,,,,,,,
1/3/1969,103.989998,1969,,,,,,,,
1/6/1969,102.470001,1969,,,,,,,,
1/7/1969,101.220001,1969,,,,,,,,
1/8/1969,100.800003,1969,,,,,,,,
1/9/1969,101.220001,1969,,,,,,,,
1/10/1969,100.93,1969,,,,,,,,
1/13/1969,100.440002,1969,,,,,,,,
1/14/1969,101.129997,1969,,,,,,,,
1/15/1969,101.620003,1969,,,,,,,,
1/16/1969,102.18,1969,,,,,,,,
1/17/1969,102.029999,1969,,,,,,,,
1/20/1969,101.690002,1969,,,,,,,,
1/21/1969,101.629997,1969,,,,,,,,
1/22/1969,101.980003,1969,,,,,,,,
1/23/1969,102.43,1969,,,,,,,,
1/24/1969,102.379997,1969,,,,,,,,
1/27/1969,102.400002,1969,,,,,,,,
1/28/1969,102.410004,1969,,,,,,,,
1/29/1969,102.510002,1969,,,,,,,,
1/30/1969,102.550003,1969,,,,,,,,
1/31/1969,103.010002,1969,,,,,,,,
2/3/1969,102.889999,1969,,,,,,,,
2/4/1969,102.919998,1969,,,,,,,,
2/5/1969,103.199997,1969,,,,,,,,
2/6/1969,103.540001,1969,,,,,,,,
2/7/1969,103.529999,1969,,,,,,,,
2/11/1969,103.650002,1969,,,,,,,,
2/12/1969,103.629997,1969,,,,,,,,
2/13/1969,103.709999,1969,,,,,,,,
2/14/1969,103.610001,1969,,,,,,,,
2/17/1969,102.440002,1969,,,,,,,,
2/18/1969,101.400002,1969,,,,,,,,
2/19/1969,100.650002,1969,,,,,,,,
2/20/1969,99.790001,1969,,,,,,,,
2/24/1969,98.599998,1969,,,,,,,,
2/25/1969,97.980003,1969,,,,,,,,
2/26/1969,98.449997,1969,,,,,,,,
2/27/1969,98.139999,1969,,,,,,,,
2/28/1969,98.129997,1969,,,,,,,,
3/3/1969,98.379997,1969,,,,,,,,
3/4/1969,99.32,1969,,,,,,,,
3/5/1969,99.709999,1969,,,,,,,,
3/6/1969,98.699997,1969,,,,,,,,
3/7/1969,98.650002,1969,,,,,,,,
3/10/1969,98.989998,1969,,,,,,,,
3/11/1969,99.32,1969,,,,,,,,
3/12/1969,99.050003,1969,,,,,,,,
3/13/1969,98.389999,1969,,,,,,,,
3/14/1969,98,1969,,,,,,,,
3/17/1969,98.25,1969,,,,,,,,
3/18/1969,98.489998,1969,,,,,,,,
3/19/1969,99.209999,1969,,,,,,,,
3/20/1969,99.839996,1969,,,,,,,,
3/21/1969,99.629997,1969,,,,,,,,
3/24/1969,99.5,1969,,,,,,,,
3/25/1969,99.660004,1969,,,,,,,,
3/26/1969,100.389999,1969,,,,,,,,
3/27/1969,101.099998,1969,,,,,,,,
3/28/1969,101.510002,1969,,,,,,,,
4/1/1969,101.419998,1969,,,,,,,,
4/2/1969,100.779999,1969,,,,,,,,
4/3/1969,100.68,1969,,,,,,,,
4/7/1969,99.889999,1969,,,,,,,,
4/8/1969,100.139999,1969,,,,,,,,
4/9/1969,101.019997,1969,,,,,,,,
4/10/1969,101.550003,1969,,,,,,,,
4/11/1969,101.650002,1969,,,,,,,,
4/14/1969,101.57,1969,,,,,,,,
4/15/1969,101.529999,1969,,,,,,,,
4/16/1969,100.629997,1969,,,,,,,,
4/17/1969,100.779999,1969,,,,,,,,
4/18/1969,101.239998,1969,,,,,,,,
4/21/1969,100.559998,1969,,,,,,,,
4/22/1969,100.779999,1969,,,,,,,,
4/23/1969,100.800003,1969,,,,,,,,
4/24/1969,101.269997,1969,,,,,,,,
4/25/1969,101.720001,1969,,,,,,,,
4/28/1969,102.029999,1969,,,,,,,,
4/29/1969,102.790001,1969,,,,,,,,
4/30/1969,103.690002,1969,,,,,,,,
5/1/1969,103.510002,1969,,,,,,,,
5/2/1969,104,1969,,,,,,,,
5/5/1969,104.370003,1969,,,,,,,,
5/6/1969,104.860001,1969,,,,,,,,
5/7/1969,104.669998,1969,,,,,,,,
5/8/1969,105.099998,1969,,,,,,,,
5/9/1969,105.050003,1969,,,,,,,,
5/12/1969,104.889999,1969,,,,,,,,
5/13/1969,105.339996,1969,,,,,,,,
5/14/1969,106.160004,1969,,,,,,,,
5/15/1969,105.849998,1969,,,,,,,,
5/16/1969,105.940002,1969,,,,,,,,
5/19/1969,104.970001,1969,,,,,,,,
5/20/1969,104.040001,1969,,,,,,,,
5/21/1969,104.470001,1969,,,,,,,,
5/22/1969,104.599998,1969,,,,,,,,
5/23/1969,104.589996,1969,,,,,,,,
5/26/1969,104.360001,1969,,,,,,,,
5/27/1969,103.57,1969,,,,,,,,
5/28/1969,103.260002,1969,,,,,,,,
5/29/1969,103.459999,1969,,,,,,,,
6/2/1969,102.940002,1969,,,,,,,,
6/3/1969,102.629997,1969,,,,,,,,
6/4/1969,102.589996,1969,,,,,,,,
6/5/1969,102.760002,1969,,,,,,,,
6/6/1969,102.120003,1969,,,,,,,,
6/9/1969,101.199997,1969,,,,,,,,
6/10/1969,100.419998,1969,,,,,,,,
6/11/1969,99.050003,1969,,,,,,,,
6/12/1969,98.260002,1969,,,,,,,,
6/13/1969,98.650002,1969,,,,,,,,
6/16/1969,98.32,1969,,,,,,,,
6/17/1969,97.949997,1969,,,,,,,,
6/18/1969,97.809998,1969,,,,,,,,
6/19/1969,97.239998,1969,,,,,,,,
6/20/1969,96.669998,1969,,,,,,,,
6/23/1969,96.230003,1969,,,,,,,,
6/24/1969,97.32,1969,,,,,,,,
6/25/1969,97.010002,1969,,,,,,,,
6/26/1969,97.25,1969,,,,,,,,
6/27/1969,97.330002,1969,,,,,,,,
6/30/1969,97.709999,1969,,,,,,,,
7/1/1969,98.080002,1969,,,,,,,,
7/2/1969,98.940002,1969,,,,,,,,
7/3/1969,99.610001,1969,,,,,,,,
7/7/1969,99.029999,1969,,,,,,,,
7/8/1969,97.629997,1969,,,,,,,,
7/9/1969,96.879997,1969,,,,,,,,
7/10/1969,95.379997,1969,,,,,,,,
7/11/1969,95.769997,1969,,,,,,,,
7/14/1969,94.550003,1969,,,,,,,,
7/15/1969,94.239998,1969,,,,,,,,
7/16/1969,95.18,1969,,,,,,,,
7/17/1969,95.760002,1969,,,,,,,,
7/18/1969,94.949997,1969,,,,,,,,
7/22/1969,93.519997,1969,,,,,,,,
7/23/1969,93.120003,1969,,,,,,,,
7/24/1969,92.800003,1969,,,,,,,,
7/25/1969,92.059998,1969,,,,,,,,
7/28/1969,90.209999,1969,,,,,,,,
7/29/1969,89.480003,1969,,,,,,,,
7/30/1969,89.93,1969,,,,,,,,
7/31/1969,91.830002,1969,,,,,,,,
8/1/1969,93.470001,1969,,,,,,,,
8/4/1969,92.989998,1969,,,,,,,,
8/5/1969,93.410004,1969,,,,,,,,
8/6/1969,93.919998,1969,,,,,,,,
8/7/1969,93.989998,1969,,,,,,,,
8/8/1969,93.940002,1969,,,,,,,,
8/11/1969,93.360001,1969,,,,,,,,
8/12/1969,92.629997,1969,,,,,,,,
8/13/1969,92.699997,1969,,,,,,,,
8/14/1969,93.339996,1969,,,,,,,,
8/15/1969,94,1969,,,,,,,,
8/18/1969,94.57,1969,,,,,,,,
8/19/1969,95.07,1969,,,,,,,,
8/20/1969,95.07,1969,,,,,,,,
8/21/1969,95.349998,1969,,,,,,,,
8/22/1969,95.919998,1969,,,,,,,,
8/25/1969,94.93,1969,,,,,,,,
8/26/1969,94.300003,1969,,,,,,,,
8/27/1969,94.489998,1969,,,,,,,,
8/28/1969,94.889999,1969,,,,,,,,
8/29/1969,95.510002,1969,,,,,,,,
9/2/1969,95.540001,1969,,,,,,,,
9/3/1969,94.980003,1969,,,,,,,,
9/4/1969,94.199997,1969,,,,,,,,
9/5/1969,93.639999,1969,,,,,,,,
9/8/1969,92.699997,1969,,,,,,,,
9/9/1969,93.379997,1969,,,,,,,,
9/10/1969,94.949997,1969,,,,,,,,
9/11/1969,94.220001,1969,,,,,,,,
9/12/1969,94.129997,1969,,,,,,,,
9/15/1969,94.870003,1969,,,,,,,,
9/16/1969,94.949997,1969,,,,,,,,
9/17/1969,94.760002,1969,,,,,,,,
9/18/1969,94.900002,1969,,,,,,,,
9/19/1969,95.190002,1969,,,,,,,,
9/22/1969,95.629997,1969,,,,,,,,
9/23/1969,95.629997,1969,,,,,,,,
9/24/1969,95.5,1969,,,,,,,,
9/25/1969,94.769997,1969,,,,,,,,
9/26/1969,94.160004,1969,,,,,,,,
9/29/1969,93.410004,1969,,,,,,,,
9/30/1969,93.120003,1969,,,,,,,,
10/1/1969,92.519997,1969,,,,,,,,
10/2/1969,93.239998,1969,,,,,,,,
10/3/1969,93.190002,1969,,,,,,,,
10/6/1969,93.379997,1969,,,,,,,,
10/7/1969,93.089996,1969,,,,,,,,
10/8/1969,92.669998,1969,,,,,,,,
10/9/1969,93.029999,1969,,,,,,,,
10/10/1969,93.559998,1969,,,,,,,,
10/13/1969,94.550003,1969,,,,,,,,
10/14/1969,95.699997,1969,,,,,,,,
10/15/1969,95.720001,1969,,,,,,,,
10/16/1969,96.370003,1969,,,,,,,,
10/17/1969,96.260002,1969,,,,,,,,
10/20/1969,96.459999,1969,,,,,,,,
10/21/1969,97.199997,1969,,,,,,,,
10/22/1969,97.830002,1969,,,,,,,,
10/23/1969,97.459999,1969,,,,,,,,
10/24/1969,98.120003,1969,,,,,,,,
10/27/1969,97.970001,1969,,,,,,,,
10/28/1969,97.660004,1969,,,,,,,,
10/29/1969,96.809998,1969,,,,,,,,
10/30/1969,96.93,1969,,,,,,,,
10/31/1969,97.120003,1969,,,,,,,,
11/3/1969,97.150002,1969,,,,,,,,
11/4/1969,97.209999,1969,,,,,,,,
11/5/1969,97.639999,1969,,,,,,,,
11/6/1969,97.669998,1969,,,,,,,,
11/7/1969,98.260002,1969,,,,,,,,
11/10/1969,98.330002,1969,,,,,,,,
11/11/1969,98.07,1969,,,,,,,,
11/12/1969,97.889999,1969,,,,,,,,
11/13/1969,97.419998,1969,,,,,,,,
11/14/1969,97.07,1969,,,,,,,,
11/17/1969,96.410004,1969,,,,,,,,
11/18/1969,96.389999,1969,,,,,,,,
11/19/1969,95.900002,1969,,,,,,,,
11/20/1969,94.910004,1969,,,,,,,,
11/21/1969,94.32,1969,,,,,,,,
11/24/1969,93.239998,1969,,,,,,,,
11/25/1969,92.940002,1969,,,,,,,,
11/26/1969,93.269997,1969,,,,,,,,
11/28/1969,93.809998,1969,,,,,,,,
12/1/1969,93.220001,1969,,,,,,,,
12/2/1969,92.650002,1969,,,,,,,,
12/3/1969,91.650002,1969,,,,,,,,
12/4/1969,91.949997,1969,,,,,,,,
12/5/1969,91.730003,1969,,,,,,,,
12/8/1969,90.839996,1969,,,,,,,,
12/9/1969,90.550003,1969,,,,,,,,
12/10/1969,90.480003,1969,,,,,,,,
12/11/1969,90.519997,1969,,,,,,,,
12/12/1969,90.809998,1969,,,,,,,,
12/15/1969,90.540001,1969,,,,,,,,
12/16/1969,89.720001,1969,,,,,,,,
12/17/1969,89.199997,1969,,,,,,,,
12/18/1969,90.610001,1969,,,,,,,,
12/19/1969,91.379997,1969,,,,,,,,
12/22/1969,90.580002,1969,,,,,,,,
12/23/1969,90.230003,1969,,,,,,,,
12/24/1969,91.18,1969,,,,,,,,
12/26/1969,91.889999,1969,,,,,,,,
12/29/1969,91.25,1969,,,,,,,,
12/30/1969,91.599998,1969,,,,,,,,
12/31/1969,92.059998,1969,,,,,,,,
1/2/1970,93,1970,,,,,,,,
1/5/1970,93.459999,1970,,,,,,,,
1/6/1970,92.82,1970,,,,,,,,
1/7/1970,92.629997,1970,,,,,,,,
1/8/1970,92.68,1970,,,,,,,,
1/9/1970,92.400002,1970,,,,,,,,
1/12/1970,91.699997,1970,,,,,,,,
1/13/1970,91.919998,1970,,,,,,,,
1/14/1970,91.650002,1970,,,,,,,,
1/15/1970,91.68,1970,,,,,,,,
1/16/1970,90.919998,1970,,,,,,,,
1/19/1970,89.650002,1970,,,,,,,,
1/20/1970,89.830002,1970,,,,,,,,
1/21/1970,89.949997,1970,,,,,,,,
1/22/1970,90.040001,1970,,,,,,,,
1/23/1970,89.370003,1970,,,,,,,,
1/26/1970,88.169998,1970,,,,,,,,
1/27/1970,87.620003,1970,,,,,,,,
1/28/1970,86.790001,1970,,,,,,,,
1/29/1970,85.690002,1970,,,,,,,,
1/30/1970,85.019997,1970,,,,,,,,
2/2/1970,85.75,1970,,,,,,,,
2/3/1970,86.769997,1970,,,,,,,,
2/4/1970,86.239998,1970,,,,,,,,
2/5/1970,85.900002,1970,,,,,,,,
2/6/1970,86.330002,1970,,,,,,,,
2/9/1970,87.010002,1970,,,,,,,,
2/10/1970,86.099998,1970,,,,,,,,
2/11/1970,86.940002,1970,,,,,,,,
2/12/1970,86.730003,1970,,,,,,,,
2/13/1970,86.540001,1970,,,,,,,,
2/16/1970,86.470001,1970,,,,,,,,
2/17/1970,86.370003,1970,,,,,,,,
2/18/1970,87.440002,1970,,,,,,,,
2/19/1970,87.760002,1970,,,,,,,,
2/20/1970,88.029999,1970,,,,,,,,
2/24/1970,87.989998,1970,,,,,,,,
2/25/1970,89.349998,1970,,,,,,,,
2/26/1970,88.900002,1970,,,,,,,,
2/27/1970,89.5,1970,,,,,,,,
3/2/1970,89.709999,1970,,,,,,,,
3/3/1970,90.230003,1970,,,,,,,,
3/4/1970,90.040001,1970,,,,,,,,
3/5/1970,90,1970,,,,,,,,
3/6/1970,89.440002,1970,,,,,,,,
3/9/1970,88.510002,1970,,,,,,,,
3/10/1970,88.75,1970,,,,,,,,
3/11/1970,88.690002,1970,,,,,,,,
3/12/1970,88.330002,1970,,,,,,,,
3/13/1970,87.860001,1970,,,,,,,,
3/16/1970,86.910004,1970,,,,,,,,
3/17/1970,87.290001,1970,,,,,,,,
3/18/1970,87.540001,1970,,,,,,,,
3/19/1970,87.419998,1970,,,,,,,,
3/20/1970,87.059998,1970,,,,,,,,
3/23/1970,86.989998,1970,,,,,,,,
3/24/1970,87.980003,1970,,,,,,,,
3/25/1970,89.769997,1970,,,,,,,,
3/26/1970,89.919998,1970,,,,,,,,
3/30/1970,89.629997,1970,,,,,,,,
3/31/1970,89.629997,1970,,,,,,,,
