Date,Adj Close,Year,,,Year,First Close,Last Close,Return for Year,Total Return 20 Years,Average Return 20 Years
9/22/1993,456.200012,1993,,,,,,,,
9/23/1993,457.73999,1993,,,,,,,,
9/24/1993,457.630005,1993,,,,,,,,
9/27/1993,461.799988,1993,,,,,,,,
9/28/1993,461.529999,1993,,,,,,,,
9/29/1993,460.109985,1993,,,,,,,,
9/30/1993,458.929993,1993,,,,,,,,
10/1/1993,461.279999,1993,,,,,,,,
10/4/1993,461.339996,1993,,,,,,,,
10/5/1993,461.200012,1993,,,,,,,,
10/6/1993,460.73999,1993,,,,,,,,
10/7/1993,459.179993,1993,,,,,,,,
10/8/1993,460.309998,1993,,,,,,,,
10/11/1993,460.880005,1993,,,,,,,,
10/12/1993,461.119995,1993,,,,,,,,
10/13/1993,461.48999,1993,,,,,,,,
10/14/1993,466.829987,1993,,,,,,,,
10/15/1993,469.5,1993,,,,,,,,
10/18/1993,468.450012,1993,,,,,,,,
10/19/1993,466.209991,1993,,,,,,,,
10/20/1993,466.070007,1993,,,,,,,,
10/21/1993,465.359985,1993,,,,,,,,
10/22/1993,463.269989,1993,,,,,,,,
10/25/1993,464.200012,1993,,,,,,,,
10/26/1993,464.299988,1993,,,,,,,,
10/27/1993,464.609985,1993,,,,,,,,
10/28/1993,467.730011,1993,,,,,,,,
10/29/1993,467.829987,1993,,,,,,,,
11/1/1993,469.100006,1993,,,,,,,,
11/2/1993,468.440002,1993,,,,,,,,
11/3/1993,463.019989,1993,,,,,,,,
11/4/1993,457.48999,1993,,,,,,,,
11/5/1993,459.570007,1993,,,,,,,,
11/8/1993,460.209991,1993,,,,,,,,
11/9/1993,460.329987,1993,,,,,,,,
11/10/1993,463.720001,1993,,,,,,,,
11/11/1993,462.640015,1993,,,,,,,,
11/12/1993,465.390015,1993,,,,,,,,
11/15/1993,463.75,1993,,,,,,,,
11/16/1993,466.73999,1993,,,,,,,,
11/17/1993,464.809998,1993,,,,,,,,
11/18/1993,463.619995,1993,,,,,,,,
11/19/1993,462.600006,1993,,,,,,,,
11/22/1993,459.130005,1993,,,,,,,,
11/23/1993,461.029999,1993,,,,,,,,
11/24/1993,462.359985,1993,,,,,,,,
11/26/1993,463.059998,1993,,,,,,,,
11/29/1993,461.899994,1993,,,,,,,,
11/30/1993,461.790009,1993,,,,,,,,
12/1/1993,461.890015,1993,,,,,,,,
12/2/1993,463.109985,1993,,,,,,,,
12/3/1993,464.890015,1993,,,,,,,,
12/6/1993,466.429993,1993,,,,,,,,
12/7/1993,466.76001,1993,,,,,,,,
12/8/1993,466.290009,1993,,,,,,,,
12/9/1993,464.179993,1993,,,,,,,,
12/10/1993,463.929993,1993,,,,,,,,
12/13/1993,465.700012,1993,,,,,,,,
12/14/1993,463.059998,1993,,,,,,,,
12/15/1993,461.839996,1993,,,,,,,,
12/16/1993,463.339996,1993,,,,,,,,
12/17/1993,466.380005,1993,,,,,,,,
12/20/1993,465.850006,1993,,,,,,,,
12/21/1993,465.299988,1993,,,,,,,,
12/22/1993,467.320007,1993,,,,,,,,
12/23/1993,467.380005,1993,,,,,,,,
12/27/1993,470.540009,1993,,,,,,,,
12/28/1993,470.940002,1993,,,,,,,,
12/29/1993,470.579987,1993,,,,,,,,
12/30/1993,468.640015,1993,,,,,,,,
12/31/1993,466.450012,1993,,,,,,,,
1/3/1994,465.440002,1994,,,,,,,,
1/4/1994,466.890015,1994,,,,,,,,
1/5/1994,467.549988,1994,,,,,,,,
1/6/1994,467.119995,1994,,,,,,,,
1/7/1994,469.899994,1994,,,,,,,,
1/10/1994,475.269989,1994,,,,,,,,
1/11/1994,474.130005,1994,,,,,,,,
1/12/1994,474.170013,1994,,,,,,,,
1/13/1994,472.470001,1994,,,,,,,,
1/14/1994,474.910004,1994,,,,,,,,
1/17/1994,473.299988,1994,,,,,,,,
1/18/1994,474.25,1994,,,,,,,,
1/19/1994,474.299988,1994,,,,,,,,
1/20/1994,474.980011,1994,,,,,,,,
1/21/1994,474.720001,1994,,,,,,,,
1/24/1994,471.970001,1994,,,,,,,,
1/25/1994,470.920013,1994,,,,,,,,
1/26/1994,473.200012,1994,,,,,,,,
1/27/1994,477.049988,1994,,,,,,,,
1/28/1994,478.700012,1994,,,,,,,,
1/31/1994,481.609985,1994,,,,,,,,
2/1/1994,479.619995,1994,,,,,,,,
2/2/1994,482,1994,,,,,,,,
2/3/1994,480.709991,1994,,,,,,,,
